task_id,answer,correct_answer
0,sequence,cause
1,comparison,joint
2,condition,condition
3,contrast,evaluation
4,contrast,contrast
5,cause-effect,background
6,joint,joint
7,elaboration,preparation
8,cause-effect,elaboration
9,contrast,elaboration
10,condition,condition
11,cause-effect,joint
12,cause-effect,joint
13,cause-effect,evaluation
14,sequence,sequence
15,contrast,contrast
16,joint,joint
17,contrast,joint
18,cause-effect,cause-effect
19,contrast,elaboration
20,cause,elaboration
21,condition,contrast
22,sequence,sequence
23,evaluation,elaboration
24,contrast,joint
25,purpose,elaboration
26,background,joint
27,cause,joint
28,condition,condition
29,background,elaboration
30,contrast,joint
31,background,joint
32,cause,joint
33,background,attribution
34,condition,evaluation
35,cause-effect,background
36,cause-effect,cause
37,cause-effect,condition
38,cause-effect,condition
39,cause-effect,cause
40,sequence,joint
41,elaboration,elaboration
42,cause,joint
43,evaluation,evaluation
44,evaluation,elaboration
45,sequence,joint
46,cause-effect,solutionhood
47,contrast,comparison
48,effect,joint
49,background,background
50,cause-effect,joint
51,purpose,elaboration
52,contrast,concession
53,cause,background
54,purpose,purpose
55,cause-effect,condition
56,cause,joint
57,sequence,joint
58,sequence,sequence
59,cause-effect,evaluation
60,joint,joint
61,evaluation,preparation
62,concession,joint
63,evaluation,attribution
64,cause,joint
65,cause-effect,cause
66,cause,cause
67,cause-effect,cause-effect
68,cause-effect,joint
69,cause-effect,joint
70,contrast,evaluation
71,attribution,attribution
72,background,attribution
73,background,joint
74,contrast,contrast
75,sequence,sequence
76,purpose,purpose
77,motivation,purpose
78,contrast,contrast
79,sequence,elaboration
80,comparison,comparison
81,elaboration,elaboration
82,cause-effect,elaboration
83,contrast,elaboration
84,contrast,joint
85,cause,cause
86,contrast,evaluation
87,contrast,contrast
88,purpose,solutionhood
89,restatement,joint
90,joint,contrast
91,cause,cause
92,evaluation,evaluation
93,background,joint
94,condition,condition
95,comparison,joint
96,contrast,contrast
97,concession,solutionhood
98,contrast,contrast
99,joint,joint
100,evaluation,joint
101,contrast,joint
102,cause,joint
103,attribution,attribution
104,contrast,joint
105,cause-effect,elaboration
106,cause,elaboration
107,cause,joint
108,cause-effect,elaboration
109,evaluation,elaboration
110,joint,joint
111,evaluation,attribution
112,condition,joint
113,restatement,restatement
114,contrast,contrast
115,cause-effect,evidence
116,evaluation,contrast
117,attribution,attribution
118,joint,preparation
119,contrast,joint
120,condition,antithesis
121,effect,joint
122,contrast,contrast
123,cause,cause
124,evaluation,attribution
125,contrast,elaboration
126,comparison,comparison
127,purpose,purpose
128,cause,condition
129,cause-effect,cause
130,contrast,elaboration
131,cause-effect,cause
132,joint,joint
133,sequence,joint
134,sequence,elaboration
135,cause,condition
136,cause-effect,joint
137,background,joint
138,cause,joint
139,joint,joint
140,cause,elaboration
141,condition,background
142,contrast,preparation
143,cause-effect,evaluation
144,evidence,background
145,condition,evaluation
146,evaluation,preparation
147,cause,effect
148,sequence,elaboration
149,purpose,sequence
150,purpose,elaboration
151,elaboration,elaboration
152,evaluation,attribution
153,contrast,joint
154,attribution,attribution
155,question,restatement
156,purpose,purpose
157,cause-effect,cause-effect
158,cause,elaboration
159,elaboration,elaboration
160,elaboration,elaboration
161,joint,joint
162,condition,condition
163,cause-effect,elaboration
164,cause-effect,comparison
165,cause-effect,joint
166,sequence,elaboration
167,evaluation,preparation
168,evaluation,elaboration
169,cause-effect,joint
170,cause,evaluation
171,cause-effect,joint
172,condition,concession
173,cause-effect,joint
174,background,preparation
175,evaluation,evaluation
176,cause-effect,joint
177,elaboration,joint
178,sequence,joint
179,cause,cause
180,attribution,attribution
181,background,elaboration
182,cause-effect,evidence
183,elaboration,elaboration
184,cause-effect,purpose
185,background,elaboration
186,cause,preparation
187,contrast,evidence
188,background,elaboration
189,concession,joint
190,cause-effect,comparison
191,solutionhood,solutionhood
192,evaluation,joint
193,cause,evaluation
194,purpose,purpose
195,background,preparation
196,cause,elaboration
197,contrast,evaluation
198,evidence,attribution
199,contrast,contrast
200,contrast,contrast
201,comparison,comparison
202,cause,condition
203,purpose,sequence
204,motivation,interpretation-evaluation
205,cause-effect,elaboration
206,restatement,joint
207,sequence,joint
208,cause,elaboration
209,sequence,sequence
210,cause-effect,evidence
211,purpose,purpose
212,cause-effect,elaboration
213,cause-effect,attribution
214,elaboration,elaboration
215,elaboration,elaboration
216,cause-effect,antithesis
217,attribution,attribution
218,cause-effect,cause
219,contrast,concession
220,attribution,attribution
221,purpose,purpose
222,cause,joint
223,contrast,condition
224,elaboration,attribution
225,cause-effect,elaboration
226,contrast,elaboration
227,cause,joint
228,cause,background
229,cause,elaboration
230,contrast,contrast
231,cause-effect,condition
232,contrast,elaboration
233,background,elaboration
234,elaboration,elaboration
235,background,elaboration
236,purpose,purpose
237,elaboration,elaboration
238,contrast,contrast
239,background,elaboration
240,evaluation,evidence
241,solutionhood,elaboration
242,preparation,joint
243,cause,elaboration
244,contrast,concession
245,cause-effect,purpose
246,background,attribution
247,contrast,elaboration
248,cause,joint
249,cause-effect,joint
250,cause-effect,elaboration
251,comparison,joint
252,cause,joint
253,cause-effect,joint
254,elaboration,attribution
255,contrast,comparison
256,contrast,contrast
257,contrast,joint
258,background,attribution
259,contrast,contrast
260,attribution,cause
261,contrast,contrast
262,evaluation,elaboration
263,cause-effect,preparation
264,sequence,sequence
265,cause-effect,cause
266,comparison,attribution
267,purpose,purpose
268,elaboration,elaboration
269,elaboration,elaboration
270,contrast,contrast
271,cause-effect,cause
272,contrast,evidence
273,background,cause
274,sequence,sequence
275,cause-effect,cause
276,elaboration,elaboration
277,concession,solutionhood
278,cause,background
279,contrast,joint
280,purpose,purpose
281,cause-effect,joint
282,evaluation,attribution
283,background,sequence
284,cause-effect,attribution
285,sequence,joint
286,sequence,sequence
287,cause-effect,joint
288,contrast,concession
289,evaluation,joint
290,cause-effect,evaluation
291,cause-effect,evaluation
292,purpose,purpose
293,evaluation,joint
294,background,background
295,evaluation,elaboration
296,elaboration,elaboration
297,cause-effect,restatement
298,sequence,cause
299,cause-effect,sequence
300,evaluation,evaluation
301,sequence,sequence
302,elaboration,condition
303,background,elaboration
304,contrast,background
305,restatement,joint
306,contrast,comparison
307,concession,concession
308,cause-effect,joint
309,cause-effect,cause
310,contrast,evaluation
311,cause-effect,sequence
312,elaboration,preparation
313,cause,condition
314,cause,elaboration
315,evaluation,evaluation
316,contrast,joint
317,background,attribution
318,contrast,preparation
319,cause,joint
320,contrast,attribution
321,contrast,joint
322,background,background
323,contrast,joint
324,cause-effect,cause
325,contrast,elaboration
326,contrast,preparation
327,condition,condition
328,background,joint
329,contrast,interpretation-evaluation
330,elaboration,attribution
331,elaboration,elaboration
332,cause-effect,cause
333,elaboration,elaboration
334,elaboration,elaboration
335,cause,comparison
336,restatement,background
337,background,preparation
338,evidence,elaboration
339,sequence,joint
340,condition,condition
341,contrast,preparation
342,cause-effect,condition
343,joint,elaboration
344,purpose,purpose
345,effect,elaboration
346,elaboration,joint
347,cause-effect,joint
348,condition,condition
349,contrast,evaluation
350,elaboration,cause
351,attribution,attribution
352,joint,joint
353,joint,elaboration
354,background,elaboration
355,restatement,attribution
356,contrast,elaboration
357,attribution,attribution
358,restatement,preparation
359,attribution,attribution
360,contrast,contrast
361,condition,cause
362,comparison,joint
363,cause,elaboration
364,cause-effect,condition
365,evaluation,attribution
366,purpose,evaluation
367,cause,elaboration
368,background,background
369,condition,condition
370,evaluation,elaboration
371,contrast,joint
372,contrast,sequence
373,purpose,cause
374,sequence,sequence
375,cause-effect,joint
376,contrast,background
377,cause-effect,joint
378,concession,joint
379,cause-effect,condition
380,attribution,attribution
381,cause,joint
382,cause-effect,elaboration
383,contrast,contrast
384,condition,elaboration
385,attribution,attribution
386,cause,elaboration
387,background,sequence
388,contrast,contrast
389,evaluation,elaboration
390,cause-effect,joint
391,sequence,joint
392,cause,background
393,contrast,contrast
394,comparison,elaboration
395,joint,joint
396,cause,elaboration
397,purpose,attribution
398,purpose,purpose
399,evaluation,interpretation-evaluation
400,cause-effect,sequence
401,attribution,attribution
402,cause,elaboration
403,cause,joint
404,purpose,elaboration
405,cause-effect,joint
406,cause,cause
407,cause-effect,elaboration
408,sequence,joint
409,contrast,elaboration
410,background,elaboration
411,purpose,condition
412,joint,joint
413,cause-effect,cause
414,condition,elaboration
415,purpose,purpose
416,condition,condition
417,evaluation,cause
418,condition,condition
419,cause-effect,elaboration
420,cause-effect,elaboration
421,motivation,evaluation
422,cause-effect,elaboration
423,condition,elaboration
424,evaluation,evidence
425,cause,elaboration
426,evaluation,elaboration
427,cause-effect,joint
428,sequence,elaboration
429,elaboration,elaboration
430,contrast,cause
431,cause,interpretation-evaluation
432,evaluation,evaluation
433,joint,joint
434,background,preparation
435,sequence,joint
436,contrast,background
437,contrast,contrast
438,cause-effect,joint
439,background,preparation
440,contrast,concession
441,contrast,preparation
442,elaboration,elaboration
443,condition,elaboration
444,cause-effect,effect
445,cause-effect,joint
446,evaluation,elaboration
447,joint,joint
448,evaluation,preparation
