task_id,answer,correct_answer
0,conclusion,condition
1,cause-effect,cause
2,cause,joint
3,comparison,comparison
4,condition,condition
5,elaboration,elaboration
6,evidence,evaluation
7,elaboration,elaboration
8,comparison,solutionhood
9,effect,attribution
10,background,attribution
11,effect,joint
12,elaboration,elaboration
13,concession,concession
14,concession,elaboration
15,cause-effect,cause
16,contrast,contrast
17,comparison,preparation
18,sequence,sequence
19,restatement,restatement
20,contrast,contrast
21,cause,joint
22,motivation,elaboration
23,attribution,attribution
24,attribution,attribution
25,effect,joint
26,condition,condition
27,cause-effect,cause
28,evidence,preparation
29,concession,elaboration
30,contrast,contrast
31,elaboration,elaboration
32,background,background
33,effect,joint
34,condition,concession
35,concession,concession
36,elaboration,elaboration
37,cause,joint
38,purpose,purpose
39,attribution,attribution
40,effect,background
41,effect,background
42,elaboration,elaboration
43,elaboration,elaboration
44,evaluation,preparation
45,attribution,attribution
46,elaboration,elaboration
47,effect,joint
48,preparation,preparation
49,solutionhood,evaluation
50,purpose,purpose
51,cause-effect,cause
52,condition,condition
53,effect,joint
54,elaboration,elaboration
55,elaboration,elaboration
56,effect,attribution
57,evaluation,evidence
58,elaboration,elaboration
59,evaluation,preparation
60,cause,joint
61,elaboration,elaboration
62,elaboration,elaboration
63,elaboration,elaboration
64,effect,joint
65,cause-effect,cause-effect
66,effect,joint
67,joint,cause
68,effect,attribution
69,background,joint
70,condition,elaboration
71,elaboration,elaboration
72,cause,joint
73,effect,joint
74,effect,joint
75,elaboration,elaboration
76,evidence,evaluation
77,elaboration,elaboration
78,condition,condition
79,purpose,attribution
80,concession,elaboration
81,elaboration,elaboration
82,contrast,contrast
83,elaboration,elaboration
84,restatement,restatement
85,effect,joint
86,background,joint
87,motivation,elaboration
88,background,joint
89,purpose,purpose
90,evidence,evidence
91,elaboration,elaboration
92,elaboration,elaboration
93,joint,joint
94,evidence,evidence
95,concession,concession
96,cause,joint
97,evidence,preparation
98,attribution,attribution
99,joint,joint
100,elaboration,elaboration
101,evaluation,evaluation
102,effect,joint
103,attribution,attribution
104,effect,joint
105,contrast,contrast
106,evaluation,evaluation
107,comparison,solutionhood
108,contrast,contrast
109,cause-effect,cause
110,cause,joint
111,elaboration,elaboration
112,sequence,sequence
113,joint,joint
114,comparison,preparation
115,cause,joint
116,cause-effect,cause
117,cause,joint
118,cause,joint
119,cause,joint
120,conclusion,elaboration
121,concession,elaboration
122,conclusion,condition
123,condition,elaboration
124,interpretation-evaluation,interpretation-evaluation
125,condition,condition
126,interpretation-evaluation,condition
127,contrast,contrast
128,cause,joint
129,elaboration,elaboration
130,motivation,elaboration
131,purpose,purpose
132,elaboration,elaboration
133,evaluation,evaluation
134,cause-effect,cause
135,elaboration,elaboration
136,purpose,purpose
137,concession,elaboration
138,evaluation,evaluation
139,elaboration,elaboration
140,purpose,purpose
141,cause-effect,cause
142,elaboration,elaboration
143,conclusion,condition
144,elaboration,elaboration
145,purpose,joint
146,attribution,attribution
147,background,joint
148,condition,elaboration
149,elaboration,elaboration
150,elaboration,elaboration
151,condition,condition
152,cause-effect,cause
153,effect,joint
154,background,joint
155,evaluation,solutionhood
156,comparison,comparison
157,attribution,attribution
158,evaluation,evaluation
159,evaluation,evaluation
160,evaluation,evidence
161,comparison,comparison
162,background,joint
163,condition,condition
164,contrast,contrast
165,joint,joint
166,joint,joint
167,purpose,purpose
168,elaboration,elaboration
169,elaboration,elaboration
170,attribution,attribution
171,effect,joint
172,evidence,preparation
173,elaboration,elaboration
174,background,cause
175,cause,joint
176,background,attribution
177,evaluation,solutionhood
178,condition,elaboration
179,elaboration,elaboration
180,conclusion,elaboration
181,elaboration,elaboration
182,cause-effect,cause
183,cause,joint
184,attribution,attribution
185,evaluation,preparation
186,elaboration,elaboration
187,contrast,contrast
188,purpose,joint
189,joint,joint
190,evidence,solutionhood
191,cause,joint
192,cause,cause
193,contrast,attribution
194,restatement,restatement
195,elaboration,elaboration
196,condition,elaboration
197,attribution,attribution
198,purpose,purpose
199,effect,joint
200,motivation,elaboration
201,evaluation,preparation
202,conclusion,elaboration
203,cause,background
204,effect,contrast
205,cause,joint
206,comparison,comparison
207,cause-effect,cause
208,elaboration,elaboration
209,elaboration,elaboration
210,joint,joint
211,purpose,joint
212,purpose,purpose
213,evaluation,preparation
214,effect,joint
215,elaboration,elaboration
216,cause-effect,cause
217,evaluation,evaluation
218,elaboration,elaboration
219,purpose,contrast
220,cause-effect,cause
221,sequence,sequence
222,effect,joint
223,comparison,preparation
224,condition,condition
225,cause-effect,cause
226,elaboration,elaboration
227,elaboration,elaboration
228,solutionhood,evaluation
229,concession,concession
230,effect,joint
231,effect,joint
232,elaboration,elaboration
233,elaboration,elaboration
234,evidence,evaluation
235,effect,joint
236,contrast,contrast
237,joint,joint
238,background,joint
239,elaboration,elaboration
240,contrast,contrast
241,condition,condition
242,condition,condition
243,condition,condition
244,elaboration,elaboration
245,evaluation,solutionhood
246,elaboration,elaboration
247,contrast,contrast
248,evidence,evidence
249,solutionhood,preparation
250,comparison,preparation
251,preparation,evaluation
252,background,background
253,background,background
254,background,joint
255,elaboration,elaboration
256,contrast,contrast
257,elaboration,elaboration
258,joint,joint
259,condition,condition
260,elaboration,elaboration
261,concession,elaboration
262,evidence,sequence
263,evaluation,evidence
264,evidence,evidence
265,comparison,comparison
266,evaluation,preparation
267,contrast,contrast
268,comparison,preparation
269,elaboration,elaboration
270,condition,condition
271,contrast,contrast
272,cause,joint
273,cause,joint
274,joint,joint
275,elaboration,elaboration
276,contrast,contrast
277,attribution,attribution
278,cause,joint
279,motivation,elaboration
280,effect,joint
281,elaboration,elaboration
282,concession,condition
283,solutionhood,evaluation
284,elaboration,elaboration
285,elaboration,elaboration
286,solutionhood,preparation
287,concession,elaboration
288,sequence,evaluation
289,conclusion,condition
290,sequence,sequence
291,conclusion,condition
292,background,joint
293,effect,joint
294,elaboration,elaboration
295,effect,purpose
296,background,joint
297,evaluation,evidence
298,evaluation,evaluation
299,restatement,restatement
300,cause-effect,cause-effect
301,effect,background
302,effect,joint
303,cause,joint
304,contrast,contrast
305,elaboration,elaboration
306,background,joint
307,background,joint
308,comparison,comparison
309,comparison,comparison
310,effect,attribution
311,background,joint
312,purpose,purpose
313,cause-effect,cause
314,motivation,elaboration
315,cause-effect,cause
316,attribution,attribution
317,joint,joint
318,attribution,attribution
319,elaboration,elaboration
320,elaboration,elaboration
321,evaluation,evidence
322,elaboration,elaboration
323,elaboration,elaboration
324,elaboration,elaboration
325,contrast,contrast
326,contrast,contrast
327,condition,condition
328,evidence,evidence
329,purpose,joint
330,comparison,comparison
331,purpose,purpose
332,condition,elaboration
333,background,attribution
334,background,joint
335,background,joint
336,cause,joint
337,concession,elaboration
338,elaboration,elaboration
339,concession,concession
340,contrast,contrast
341,elaboration,sequence
342,conclusion,condition
343,solutionhood,preparation
344,elaboration,elaboration
345,evidence,solutionhood
346,effect,joint
347,contrast,contrast
348,background,joint
349,elaboration,elaboration
350,attribution,attribution
351,purpose,purpose
352,evaluation,evaluation
353,cause,joint
354,comparison,comparison
355,elaboration,elaboration
356,background,joint
357,concession,elaboration
358,concession,elaboration
359,joint,joint
360,elaboration,elaboration
361,background,joint
362,cause-effect,cause
363,concession,elaboration
364,elaboration,elaboration
365,cause-effect,cause-effect
366,cause,joint
367,concession,elaboration
368,effect,joint
369,purpose,purpose
370,cause,joint
371,cause,joint
372,solutionhood,evaluation
373,purpose,purpose
374,evaluation,preparation
375,evidence,sequence
376,attribution,attribution
377,sequence,sequence
378,elaboration,elaboration
379,condition,condition
380,effect,purpose
381,background,attribution
382,cause,joint
383,cause-effect,cause-effect
384,purpose,purpose
385,contrast,contrast
386,condition,condition
387,solutionhood,evaluation
388,joint,joint
389,cause-effect,cause-effect
390,elaboration,elaboration
391,comparison,preparation
392,sequence,evidence
393,purpose,joint
394,background,cause
395,joint,joint
396,comparison,comparison
397,background,attribution
398,cause,joint
399,attribution,attribution
400,purpose,joint
401,effect,joint
402,elaboration,elaboration
403,cause,background
404,effect,joint
405,motivation,elaboration
406,effect,joint
407,purpose,joint
408,solutionhood,preparation
409,comparison,preparation
410,condition,elaboration
411,attribution,attribution
412,restatement,restatement
413,elaboration,elaboration
414,solutionhood,solutionhood
415,cause-effect,cause-effect
416,condition,condition
417,background,background
418,solutionhood,evaluation
419,elaboration,elaboration
420,condition,condition
421,sequence,evidence
422,concession,elaboration
423,background,joint
424,conclusion,interpretation-evaluation
425,concession,elaboration
426,cause-effect,cause
427,effect,purpose
428,purpose,contrast
429,effect,joint
430,conclusion,condition
431,condition,interpretation-evaluation
432,background,joint
433,interpretation-evaluation,interpretation-evaluation
434,background,joint
435,evidence,preparation
436,cause-effect,cause
437,attribution,attribution
438,effect,joint
439,cause,joint
440,background,joint
441,elaboration,elaboration
442,attribution,attribution
443,elaboration,elaboration
444,cause-effect,cause
445,elaboration,elaboration
446,evidence,evaluation
447,cause,joint
448,conclusion,elaboration
449,contrast,contrast
450,cause-effect,cause
451,evaluation,evaluation
452,background,joint
453,effect,joint
454,condition,condition
455,background,attribution
456,effect,joint
457,joint,cause
458,sequence,sequence
459,evaluation,evaluation
460,conclusion,elaboration
461,conclusion,elaboration
462,motivation,elaboration
463,background,joint
464,joint,purpose
465,attribution,attribution
466,restatement,restatement
467,effect,joint
468,effect,joint
469,conclusion,condition
470,cause,joint
471,effect,joint
472,cause,joint
473,elaboration,elaboration
474,contrast,contrast
475,comparison,preparation
476,purpose,joint
477,sequence,sequence
478,condition,condition
479,elaboration,elaboration
480,purpose,joint
481,attribution,attribution
482,joint,joint
483,purpose,purpose
484,elaboration,elaboration
485,background,background
486,contrast,contrast
487,elaboration,elaboration
488,elaboration,elaboration
489,contrast,contrast
490,elaboration,elaboration
491,motivation,elaboration
492,evidence,preparation
493,attribution,attribution
494,effect,joint
495,conclusion,condition
496,purpose,attribution
497,effect,attribution
498,purpose,purpose
499,elaboration,elaboration
500,conclusion,restatement
501,condition,condition
502,background,joint
503,evidence,solutionhood
504,cause-effect,cause-effect
505,condition,elaboration
506,effect,joint
507,purpose,joint
508,elaboration,elaboration
509,evaluation,evaluation
510,background,background
511,purpose,contrast
512,evidence,preparation
513,elaboration,elaboration
514,joint,joint
515,joint,joint
516,conclusion,interpretation-evaluation
517,comparison,comparison
518,concession,elaboration
519,cause,joint
520,evaluation,evaluation
521,purpose,attribution
522,solutionhood,preparation
523,joint,joint
524,effect,contrast
525,contrast,contrast
526,background,joint
527,joint,joint
528,purpose,purpose
529,effect,joint
530,comparison,preparation
531,contrast,contrast
532,attribution,attribution
533,elaboration,elaboration
534,sequence,sequence
535,condition,elaboration
536,concession,elaboration
537,attribution,attribution
538,condition,condition
539,motivation,elaboration
540,elaboration,elaboration
541,contrast,contrast
542,contrast,contrast
543,evaluation,evaluation
544,attribution,attribution
545,cause-effect,cause
546,sequence,sequence
547,solutionhood,solutionhood
548,contrast,contrast
549,contrast,contrast
550,cause,background
551,cause,cause-effect
552,cause-effect,cause
553,background,background
554,contrast,attribution
555,concession,elaboration
556,background,joint
557,attribution,attribution
558,background,joint
559,contrast,contrast
560,contrast,contrast
561,cause-effect,cause
562,motivation,elaboration
563,contrast,contrast
564,attribution,attribution
565,evidence,preparation
566,sequence,sequence
567,contrast,contrast
568,effect,joint
569,purpose,purpose
570,purpose,joint
571,joint,joint
572,solutionhood,solutionhood
573,effect,joint
574,elaboration,elaboration
575,concession,elaboration
576,evaluation,evaluation
577,attribution,attribution
578,solutionhood,preparation
579,solutionhood,preparation
580,effect,joint
581,contrast,contrast
582,concession,concession
583,solutionhood,preparation
584,effect,contrast
585,sequence,sequence
586,condition,condition
587,evaluation,evidence
588,purpose,purpose
589,evaluation,solutionhood
590,cause,joint
591,cause,joint
592,preparation,evaluation
593,cause-effect,cause
594,purpose,joint
595,concession,elaboration
596,solutionhood,preparation
597,purpose,joint
598,background,joint
599,evaluation,evaluation
600,effect,joint
601,evidence,evaluation
602,comparison,preparation
603,cause,joint
604,elaboration,elaboration
605,joint,background
606,concession,elaboration
607,cause-effect,cause
608,concession,condition
609,concession,elaboration
610,elaboration,elaboration
611,comparison,comparison
612,motivation,condition
613,evidence,preparation
614,background,background
615,cause,joint
616,evidence,evaluation
617,sequence,sequence
618,condition,condition
619,effect,joint
620,cause,joint
621,background,attribution
622,purpose,purpose
623,purpose,purpose
624,solutionhood,evaluation
625,evidence,preparation
626,effect,joint
627,condition,condition
628,elaboration,elaboration
629,condition,condition
630,cause-effect,cause
631,contrast,contrast
632,cause,joint
633,contrast,contrast
634,comparison,solutionhood
635,cause,joint
636,concession,condition
637,evidence,evidence
638,cause,joint
639,elaboration,elaboration
640,concession,elaboration
641,sequence,sequence
642,elaboration,elaboration
643,purpose,joint
644,contrast,contrast
645,effect,joint
646,effect,cause
647,concession,elaboration
648,effect,joint
649,cause,joint
650,effect,joint
651,elaboration,elaboration
652,concession,elaboration
653,motivation,concession
654,evidence,preparation
655,evaluation,preparation
656,preparation,preparation
657,cause-effect,cause
658,purpose,purpose
659,joint,joint
660,concession,elaboration
661,effect,joint
662,cause,cause
663,cause-effect,cause
664,purpose,purpose
665,comparison,preparation
666,contrast,contrast
667,evaluation,evidence
668,elaboration,elaboration
669,purpose,background
670,effect,joint
671,contrast,contrast
672,elaboration,elaboration
673,background,joint
674,condition,elaboration
675,elaboration,elaboration
676,cause,joint
677,conclusion,interpretation-evaluation
678,cause-effect,cause
679,preparation,preparation
680,elaboration,elaboration
681,sequence,sequence
682,solutionhood,preparation
683,comparison,comparison
684,attribution,attribution
