task_id,answer,correct_answer
0,joint,cause
1,joint,joint
2,condition,condition
3,evaluation,evaluation
4,contrast,contrast
5,sequence,background
6,joint,joint
7,preparation,preparation
8,evaluation,elaboration
9,antithesis,elaboration
10,condition,condition
11,cause-effect,joint
12,cause-effect,joint
13,solutionhood,evaluation
14,sequence,sequence
15,contrast,contrast
16,joint,joint
17,cause-effect,joint
18,cause-effect,cause-effect
19,antithesis,elaboration
20,elaboration,elaboration
21,contrast,contrast
22,sequence,sequence
23,elaboration,elaboration
24,cause-effect,joint
25,elaboration,elaboration
26,joint,joint
27,cause,joint
28,background,condition
29,evaluation,elaboration
30,joint,joint
31,joint,joint
32,cause,joint
33,attribution,attribution
34,restatement,evaluation
35,background,background
36,cause,cause
37,cause,condition
38,cause,condition
39,cause,cause
40,cause-effect,joint
41,elaboration,elaboration
42,cause,joint
43,evaluation,evaluation
44,evaluation,elaboration
45,cause-effect,joint
46,solutionhood,solutionhood
47,attribution,comparison
48,effect,joint
49,background,background
50,cause-effect,joint
51,antithesis,elaboration
52,concession,concession
53,background,background
54,purpose,purpose
55,cause,condition
56,cause-effect,joint
57,cause,joint
58,sequence,sequence
59,restatement,evaluation
60,joint,joint
61,evaluation,preparation
62,joint,joint
63,attribution,attribution
64,cause-effect,joint
65,cause,cause
66,cause,cause
67,cause-effect,cause-effect
68,effect,joint
69,cause-effect,joint
70,evaluation,evaluation
71,attribution,attribution
72,attribution,attribution
73,joint,joint
74,contrast,contrast
75,sequence,sequence
76,purpose,purpose
77,purpose,purpose
78,contrast,contrast
79,sequence,elaboration
80,comparison,comparison
81,elaboration,elaboration
82,conclusion,elaboration
83,evaluation,elaboration
84,joint,joint
85,cause,cause
86,restatement,evaluation
87,contrast,contrast
88,solutionhood,solutionhood
89,joint,joint
90,purpose,contrast
91,cause,cause
92,restatement,evaluation
93,cause,joint
94,condition,condition
95,joint,joint
96,contrast,contrast
97,antithesis,solutionhood
98,contrast,contrast
99,joint,joint
100,joint,joint
101,joint,joint
102,cause,joint
103,attribution,attribution
104,joint,joint
105,antithesis,elaboration
106,evaluation,elaboration
107,cause-effect,joint
108,elaboration,elaboration
109,evaluation,elaboration
110,joint,joint
111,attribution,attribution
112,joint,joint
113,restatement,restatement
114,contrast,contrast
115,joint,evidence
116,attribution,contrast
117,attribution,attribution
118,conclusion,preparation
119,cause-effect,joint
120,elaboration,antithesis
121,cause-effect,joint
122,contrast,contrast
123,cause,cause
124,attribution,attribution
125,antithesis,elaboration
126,comparison,comparison
127,purpose,purpose
128,cause,condition
129,cause,cause
130,elaboration,elaboration
131,cause,cause
132,joint,joint
133,cause-effect,joint
134,sequence,elaboration
135,condition,condition
