task_id,answer,correct_answer
0,background,cause
1,elaboration,joint
2,condition,condition
3,evaluation,evaluation
4,contrast,contrast
5,attribution,background
6,restatement,joint
7,preparation,preparation
8,elaboration,elaboration
9,attribution,elaboration
10,condition,condition
11,sequence,joint
12,contrast,joint
13,effect,evaluation
14,sequence,sequence
15,contrast,contrast
16,background,joint
17,solutionhood,joint
18,cause-effect,cause-effect
19,effect,elaboration
20,effect,elaboration
21,contrast,contrast
22,sequence,sequence
23,elaboration,elaboration
24,restatement,joint
25,purpose,elaboration
26,restatement,joint
27,cause-effect,joint
28,condition,condition
29,elaboration,elaboration
30,concession,joint
31,evidence,joint
32,cause-effect,joint
33,background,attribution
34,contrast,evaluation
35,background,background
36,cause,cause
37,cause-effect,condition
38,condition,condition
39,cause,cause
40,elaboration,joint
41,elaboration,elaboration
42,solutionhood,joint
43,evaluation,evaluation
44,elaboration,elaboration
45,effect,joint
46,concession,solutionhood
47,cause-effect,comparison
48,elaboration,joint
49,background,background
50,effect,joint
51,purpose,elaboration
52,concession,concession
53,elaboration,background
54,purpose,purpose
55,condition,condition
56,evidence,joint
57,sequence,joint
58,sequence,sequence
59,cause,evaluation
60,comparison,joint
61,effect,preparation
62,joint,joint
63,attribution,attribution
64,effect,joint
65,cause,cause
66,restatement,cause
67,cause-effect,cause-effect
68,contrast,joint
69,effect,joint
70,concession,evaluation
71,attribution,attribution
72,attribution,attribution
73,preparation,joint
74,contrast,contrast
75,sequence,sequence
76,purpose,purpose
77,purpose,purpose
78,contrast,contrast
79,effect,elaboration
80,comparison,comparison
81,sequence,elaboration
82,motivation,elaboration
83,antithesis,elaboration
84,antithesis,joint
85,cause-effect,cause
86,antithesis,evaluation
87,contrast,contrast
88,cause-effect,solutionhood
89,joint,joint
90,cause-effect,contrast
91,cause,cause
92,evaluation,evaluation
93,joint,joint
94,condition,condition
95,joint,joint
96,contrast,contrast
97,contrast,solutionhood
98,contrast,contrast
99,comparison,joint
100,concession,joint
101,contrast,joint
102,background,joint
103,attribution,attribution
104,joint,joint
105,cause,elaboration
106,cause-effect,elaboration
107,cause,joint
108,cause,elaboration
109,elaboration,elaboration
110,joint,joint
111,attribution,attribution
112,restatement,joint
113,attribution,restatement
114,contrast,contrast
115,cause-effect,evidence
116,evidence,contrast
117,attribution,attribution
118,joint,preparation
119,cause,joint
120,cause-effect,antithesis
121,cause,joint
122,contrast,contrast
123,cause-effect,cause
124,concession,attribution
125,antithesis,elaboration
126,comparison,comparison
127,purpose,purpose
128,condition,condition
129,cause-effect,cause
130,elaboration,elaboration
131,cause,cause
132,sequence,joint
133,joint,joint
134,sequence,elaboration
135,condition,condition
136,restatement,joint
137,joint,joint
138,background,joint
139,joint,joint
140,effect,elaboration
141,background,background
142,interpretation-evaluation,preparation
143,evaluation,evaluation
144,restatement,background
145,evidence,evaluation
146,comparison,preparation
147,evidence,effect
148,sequence,elaboration
149,sequence,sequence
150,elaboration,elaboration
151,elaboration,elaboration
152,background,attribution
153,joint,joint
154,interpretation-evaluation,attribution
155,restatement,restatement
156,purpose,purpose
157,cause,cause-effect
158,solutionhood,elaboration
159,elaboration,elaboration
160,elaboration,elaboration
161,joint,joint
162,condition,condition
163,elaboration,elaboration
164,solutionhood,comparison
165,condition,joint
166,elaboration,elaboration
167,evaluation,preparation
168,contrast,elaboration
169,elaboration,joint
170,cause-effect,evaluation
171,cause-effect,joint
172,purpose,concession
173,cause-effect,joint
174,attribution,preparation
175,restatement,evaluation
176,cause-effect,joint
177,evaluation,joint
178,evaluation,joint
179,cause,cause
180,attribution,attribution
181,background,elaboration
182,restatement,evidence
183,elaboration,elaboration
184,purpose,purpose
185,restatement,elaboration
186,background,preparation
187,concession,evidence
188,elaboration,elaboration
189,joint,joint
190,comparison,comparison
191,solutionhood,solutionhood
192,comparison,joint
193,attribution,evaluation
194,purpose,purpose
195,restatement,preparation
196,background,elaboration
197,concession,evaluation
198,attribution,attribution
199,contrast,contrast
200,contrast,contrast
201,comparison,comparison
202,condition,condition
203,sequence,sequence
204,purpose,interpretation-evaluation
